Name	Type 1	Type 2	HP	Atk	Def	Tankiness	Basic Atk	PW	Type	STAB?	Spd (ms)	NRG	Quick Dmg	Charge Atk	PW	Type	STAB?	NRG	Crit%	Spd (ms)	Charge Dmg	Quicks to Full	QuickTime (ms)	Full Cycle DPS	Quick Only DPS	Defensive DPS	DPS %	Duel Ability	Duel %	Def Ability	Def %	1.5x Def
Rhydon	Ground	Rock	210	222	206	43260	Mud Slap	15	Ground	1	1350	12	14	Earthquake	100	Ground	1	100	5	4200	93	9	12150	13.39	10.37	6.02	77.53%	579251	78.41%	260631	97.34%	#REF!
Snorlax	Normal		320	190	190	60800	Zen Headbutt	12	Psychic	0	1050	9	8	Earthquake	100	Ground	0	100	5	4200	64	12	12600	9.52	7.62	3.74	55.12%	578816	78.35%	227290	84.89%	#REF!
Rhydon	Ground	Rock	210	222	206	43260	Mud Slap	15	Ground	1	1350	12	14	Stone Edge	80	Rock	1	100	50	3100	75	9	12150	13.18	10.37	5.70	76.32%	570167	77.18%	246674	92.13%	#REF!
Lapras	Water	Ice	260	186	190	49400	Frost Breath	9	Ice	1	810	7	7	Blizzard	100	Ice	1	100	5	3900	78	15	12150	11.40	8.64	3.81	66.01%	563160	76.23%	188142	70.27%	#REF!
Lapras	Water	Ice	260	186	190	49400	Ice Shard	15	Ice	1	1400	12	12	Blizzard	100	Ice	1	100	5	3900	78	9	12600	11.27	8.57	5.10	65.26%	556738	75.37%	251737	94.02%	#REF!
Vaporeon	Water		260	205	177	46020	Water Gun	6	Water	1	500	7	6	Water Pulse	35	Water	1	25	5	3300	30	4	2000	10.19	12.00	3.53	69.48%	552240	74.76%	162424	60.66%	#REF!
Gyarados	Water	Flying	190	237	197	37430	Bite	6	Dark	0	500	7	5	Hydro Pump	90	Water	1	100	5	3800	89	15	7500	14.51	10.00	3.79	84.02%	543109	73.52%	141767	52.95%	#REF!
Gyarados	Water	Flying	190	237	197	37430	Dragon Breath	6	Dragon	0	500	7	5	Hydro Pump	90	Water	1	100	5	3800	89	15	7500	14.51	10.00	3.79	84.02%	543109	73.52%	141767	52.95%	#REF!
Rhydon	Ground	Rock	210	222	206	43260	Mud Slap	15	Ground	1	1350	12	14	Megahorn	80	Bug	0	100	5	3200	60	9	12150	12.12	10.37	5.26	70.18%	524311	70.98%	227620	85.01%	#REF!
Golem	Rock	Ground	160	211	229	36640	Mud Shot	6	Ground	1	550	7	6	Earthquake	100	Ground	1	100	5	4200	88	15	8250	14.30	10.91	4.00	82.80%	523952	70.93%	146725	54.80%	#REF!
Lapras	Water	Ice	260	186	190	49400	Frost Breath	9	Ice	1	810	7	7	Ice Beam	65	Ice	1	50	5	3650	51	8	6480	10.56	8.64	3.80	61.15%	521664	70.62%	187906	70.18%	#REF!
Golem	Rock	Ground	160	211	229	36640	Mud Shot	6	Ground	1	550	7	6	Stone Edge	80	Rock	1	100	50	3100	71	15	8250	14.19	10.91	3.71	82.17%	519922	70.38%	136079	50.82%	#REF!
Rhydon	Ground	Rock	210	222	206	43260	Rock Smash	15	Fighting	0	1410	12	12	Earthquake	100	Ground	1	100	5	4200	93	9	12690	11.90	8.51	5.45	68.91%	514794	69.69%	235708	88.04%	#REF!
Lapras	Water	Ice	260	186	190	49400	Ice Shard	15	Ice	1	1400	12	12	Ice Beam	65	Ice	1	50	5	3650	51	5	7000	10.42	8.57	4.90	60.34%	514748	69.68%	242093	90.42%	#REF!
Dragonite	Dragon	Flying	182	263	201	36582	Steel Wing	15	Steel	0	1330	12	14	Dragon Pulse	65	Dragon	1	50	5	3600	72	5	6650	13.85	10.53	6.38	80.20%	506661	68.59%	233467	87.20%	#REF!
Rhydon	Ground	Rock	210	222	206	43260	Rock Smash	15	Fighting	0	1410	12	12	Stone Edge	80	Rock	1	100	50	3100	75	9	12690	11.59	8.51	5.11	67.11%	501383	67.87%	221195	82.61%	#REF!
Dragonite	Dragon	Flying	182	263	201	36582	Steel Wing	15	Steel	0	1330	12	14	Hyper Beam	120	Normal	0	100	5	5000	106	9	11970	13.67	10.53	6.28	79.15%	500076	67.69%	229565	85.74%	#REF!
Articuno	Ice	Flying	180	192	249	44820	Frost Breath	9	Ice	1	810	7	8	Blizzard	100	Ice	1	100	5	3900	81	15	12150	12.52	9.88	4.18	72.50%	561146	75.96%	187488	70.03%	#REF!
Articuno	Ice	Flying	180	192	249	44820	Frost Breath	9	Ice	1	810	7	8	Ice Beam	65	Ice	1	50	5	3650	53	8	6480	11.55	9.88	4.16	66.88%	517671	70.08%	186418	69.63%	#REF!
Articuno	Ice	Flying	180	192	249	44820	Frost Breath	9	Ice	1	810	7	8	Icy Wind	25	Ice	1	20	5	3800	21	3	2430	7.22	9.88	3.16	57.21%	442822	59.94%	141736	52.94%	#REF!
Dragonite	Dragon	Flying	182	263	201	36582	Steel Wing	15	Steel	0	1330	12	14	Dragon Claw	35	Dragon	1	50	25	1500	39	5	6650	13.37	10.53	5.41	77.42%	489101	66.21%	197888	73.91%	#REF!
Golem	Rock	Ground	160	211	229	36640	Mud Slap	15	Ground	1	1350	12	14	Earthquake	100	Ground	1	100	5	4200	88	9	12150	13.09	10.37	5.89	75.80%	479618	64.93%	215707	80.57%	#REF!
Lapras	Water	Ice	260	186	190	49400	Frost Breath	9	Ice	1	810	7	7	Dragon Pulse	65	Dragon	0	50	5	3600	41	8	6480	9.62	8.64	3.45	55.70%	475228	64.33%	170648	63.74%	#REF!
Golem	Rock	Ground	160	211	229	36640	Mud Slap	15	Ground	1	1350	12	14	Stone Edge	80	Rock	1	100	50	3100	71	9	12150	12.92	10.37	5.59	74.81%	473389	64.08%	204768	76.48%	#REF!
Omastar	Rock	Water	140	207	227	31780	Water Gun	6	Water	1	500	7	6	Hydro Pump	90	Water	1	100	5	3800	78	15	7500	14.87	12.00	3.88	86.10%	472569	63.97%	123303	46.05%	#REF!
Lapras	Water	Ice	260	186	190	49400	Ice Shard	15	Ice	1	1400	12	12	Dragon Pulse	65	Dragon	0	50	5	3600	41	5	7000	9.53	8.57	4.47	55.18%	470782	63.73%	220770	82.46%	#REF!
Rhydon	Ground	Rock	210	222	206	43260	Rock Smash	15	Fighting	0	1410	12	12	Megahorn	80	Bug	0	100	5	3200	60	9	12690	10.57	8.51	4.68	61.20%	457258	61.90%	202499	75.63%	#REF!
Gyarados	Water	Flying	190	237	197	37430	Bite	6	Dark	0	500	7	5	Dragon Pulse	65	Dragon	0	50	5	3600	52	8	4000	12.11	10.00	3.59	70.12%	453277	61.36%	134514	50.24%	#REF!
Gyarados	Water	Flying	190	237	197	37430	Dragon Breath	6	Dragon	0	500	7	5	Dragon Pulse	65	Dragon	0	50	5	3600	52	8	4000	12.11	10.00	3.59	70.12%	453277	61.36%	134514	50.24%	#REF!
Arcanine	Fire		180	227	166	29880	Fire Fang	10	Fire	1	840	8	10	Fire Blast	100	Fire	1	100	5	4100	95	13	10920	14.98	11.90	5.23	86.74%	447602	60.59%	156276	58.37%	#REF!
Exeggutor	Grass	Psychic	190	233	158	30020	Zen Headbutt	12	Psychic	1	1050	9	12	Solar Beam	120	Grass	1	100	5	4900	117	12	12600	14.91	11.43	6.00	86.33%	447598	60.59%	180120	67.27%	#REF!
Golem	Rock	Ground	160	211	229	36640	Rock Throw	12	Rock	1	1360	15	11	Earthquake	100	Ground	1	100	5	4200	88	7	9520	12.03	8.09	5.55	69.66%	440779	59.67%	203419	75.98%	#REF!
Slowbro	Water	Psychic	190	177	194	36860	Water Gun	6	Water	1	500	7	5	Psychic	55	Psychic	1	50	5	2800	41	8	4000	11.91	10.00	3.27	68.96%	439003	59.43%	120390	44.96%	#REF!
Arcanine	Fire		180	227	166	29880	Bite	6	Dark	0	500	7	5	Fire Blast	100	Fire	1	100	5	4100	95	15	7500	14.66	10.00	3.90	84.89%	438041	59.30%	116505	43.51%	#REF!
Muk	Poison		210	190	184	38640	Poison Jab	12	Poison	1	1050	10	10	Gunk Shot	65	Poison	1	100	5	3000	52	10	10500	11.26	9.52	4.28	65.20%	435086	58.90%	165445	61.79%	#REF!
Muk	Poison		210	190	184	38640	Poison Jab	12	Poison	1	1050	10	10	Sludge Wave	70	Poison	1	100	5	3400	56	10	10500	11.22	9.52	4.35	64.97%	433541	58.69%	167906	62.71%	#REF!
Golem	Rock	Ground	160	211	229	36640	Rock Throw	12	Rock	1	1360	15	11	Stone Edge	80	Rock	1	100	50	3100	71	7	9520	11.73	8.09	5.17	67.92%	429787	58.18%	189473	70.77%	#REF!
Exeggutor	Grass	Psychic	190	233	158	30020	Confusion	15	Psychic	1	1510	14	15	Solar Beam	120	Grass	1	100	5	4900	117	8	12080	13.96	9.93	6.78	80.83%	419079	56.73%	203395	75.97%	#REF!
Arcanine	Fire		180	227	166	29880	Fire Fang	10	Fire	1	840	8	10	Flamethrower	55	Fire	1	50	5	2900	53	7	5880	14.01	11.90	4.96	81.12%	418619	56.67%	148315	55.39%	#REF!
Exeggutor	Grass	Psychic	190	233	158	30020	Zen Headbutt	12	Psychic	1	1050	9	12	Psychic	55	Psychic	1	50	5	2800	54	6	6300	13.85	11.43	5.45	80.20%	415777	56.28%	163745	61.16%	#REF!
Omastar	Rock	Water	140	207	227	31780	Water Gun	6	Water	1	500	7	6	Rock Slide	50	Rock	1	33	5	3200	44	5	2500	12.98	12.00	4.18	75.16%	412504	55.84%	132866	49.62%	#REF!
Blastoise	Water		158	171	210	33180	Water Gun	6	Water	1	500	7	5	Hydro Pump	90	Water	1	100	5	3800	65	15	7500	12.39	10.00	3.23	71.74%	411100	55.65%	107279	40.07%	#REF!
Venusaur	Grass	Poison	160	198	198	31680	Vine Whip	7	Grass	1	650	7	6	Solar Beam	120	Grass	1	100	5	4900	100	15	9750	12.97	9.23	4.07	75.10%	410890	55.62%	129029	48.19%	#REF!
Chansey	Normal		500	60	176	88000	Pound	7	Normal	1	540	7	2	Hyper Beam	120	Normal	1	100	5	5000	31	15	8100	4.66	3.70	1.35	26.98%	410080	55.51%	119024	44.45%	#REF!
Charizard	Fire	Flying	156	223	176	27456	Wing Attack	9	Flying	1	750	7	9	Fire Blast	100	Fire	1	100	5	4100	93	15	11250	14.85	12.00	4.82	85.99%	407722	55.19%	132206	49.38%	#REF!
Tentacruel	Water	Poison	160	166	237	37920	Poison Jab	12	Poison	1	1050	10	9	Hydro Pump	90	Water	1	100	5	3800	63	10	10500	10.70	8.57	4.21	61.96%	405744	54.93%	159828	59.69%	#REF!
Omastar	Rock	Water	140	207	227	31780	Mud Shot	6	Ground	0	550	7	5	Hydro Pump	90	Water	1	100	5	3800	78	15	8250	12.70	9.09	3.47	73.54%	403606	54.64%	110382	41.23%	#REF!
Muk	Poison		210	190	184	38640	Lick	5	Ghost	0	500	6	4	Gunk Shot	65	Poison	1	100	5	3000	52	17	8500	10.43	8.00	2.53	60.39%	403015	54.56%	97617	36.46%	#REF!
Arcanine	Fire		180	227	166	29880	Bite	6	Dark	0	500	7	5	Flamethrower	55	Fire	1	50	5	2900	53	8	4000	13.48	10.00	3.73	78.05%	402782	54.52%	111600	41.68%	#REF!
Muk	Poison		210	190	184	38640	Lick	5	Ghost	0	500	6	4	Sludge Wave	70	Poison	1	100	5	3400	56	17	8500	10.42	8.00	2.59	60.34%	402629	54.50%	100028	37.36%	#REF!
Golem	Rock	Ground	160	211	229	36640	Mud Shot	6	Ground	1	550	7	6	Ancient Power	35	Rock	1	25	5	3600	31	4	2200	9.48	10.91	3.48	63.17%	399742	54.11%	127544	47.64%	#REF!
Exeggutor	Grass	Psychic	190	233	158	30020	Zen Headbutt	12	Psychic	1	1050	9	12	Seed Bomb	40	Grass	1	33	5	2400	39	4	4200	13.18	11.43	5.24	76.32%	395664	53.56%	157334	58.76%	#REF!
Exeggutor	Grass	Psychic	190	233	158	30020	Confusion	15	Psychic	1	1510	14	15	Psychic	55	Psychic	1	50	5	2800	54	4	6040	12.90	9.93	6.05	74.70%	387258	52.42%	181650	67.84%	#REF!
Flareon	Fire		130	246	204	26520	Ember	10	Fire	1	1050	10	11	Fire Blast	100	Fire	1	100	5	4100	103	10	10500	14.59	10.48	5.82	84.48%	386927	52.38%	154338	57.64%	#REF!
Venusaur	Grass	Poison	160	198	198	31680	Vine Whip	7	Grass	1	650	7	6	Petal Blizzard	65	Grass	1	50	5	3200	54	8	5200	12.14	9.23	3.86	70.30%	384595	52.06%	122400	45.72%	#REF!
Tentacruel	Water	Poison	160	166	237	37920	Poison Jab	12	Poison	1	1050	10	9	Blizzard	100	Ice	0	100	5	3900	56	10	10500	10.14	8.57	4.01	58.71%	384509	52.05%	152097	56.81%	#REF!
Venusaur	Grass	Poison	160	198	198	31680	Razor Leaf	15	Grass	1	1450	12	13	Solar Beam	120	Grass	1	100	5	4900	100	9	13050	12.09	8.97	5.72	70.01%	383011	51.85%	181148	67.66%	#REF!
Charizard	Fire	Flying	156	223	176	27456	Wing Attack	9	Flying	1	750	7	9	Flamethrower	55	Fire	1	50	5	2900	52	8	6000	13.93	12.00	4.61	80.66%	382462	51.77%	126563	47.27%	#REF!
Venusaur	Grass	Poison	160	198	198	31680	Vine Whip	7	Grass	1	650	7	6	Sludge Bomb	55	Poison	1	50	5	2600	46	8	5200	12.05	9.23	3.64	69.77%	381744	51.68%	115423	43.11%	#REF!
Omastar	Rock	Water	140	207	227	31780	Water Gun	6	Water	1	500	7	6	Ancient Power	35	Rock	1	25	5	3600	31	4	2000	9.82	12.00	3.53	69.48%	381360	51.62%	112045	41.85%	#REF!
Slowbro	Water	Psychic	190	177	194	36860	Water Gun	6	Water	1	500	7	5	Ice Beam	65	Ice	0	50	5	3650	39	8	4000	10.33	10.00	3.08	59.81%	380764	51.54%	113526	42.40%	#REF!
Golem	Rock	Ground	160	211	229	36640	Mud Slap	15	Ground	1	1350	12	14	Ancient Power	35	Rock	1	25	5	3600	31	3	4050	9.54	10.37	4.66	60.05%	379957	51.43%	170909	63.83%	#REF!
Tentacruel	Water	Poison	160	166	237	37920	Poison Jab	12	Poison	1	1050	10	9	Sludge Wave	70	Poison	1	100	5	3400	49	10	10500	10.00	8.57	3.87	57.90%	379200	51.33%	146821	54.84%	#REF!
Muk	Poison		210	190	184	38640	Acid	10	Poison	1	1050	10	8	Sludge Wave	70	Poison	1	100	5	3400	56	10	10500	9.78	7.62	3.79	56.63%	377899	51.16%	146380	54.67%	#REF!
Muk	Poison		210	190	184	38640	Acid	10	Poison	1	1050	10	8	Gunk Shot	65	Poison	1	100	5	3000	52	10	10500	9.78	7.62	3.72	56.63%	377899	51.16%	143675	53.66%	#REF!
Poliwrath	Water	Fighting	180	182	187	33660	Bubble	25	Water	1	2300	25	19	Hydro Pump	90	Water	1	100	5	3800	69	4	9200	11.15	8.26	6.30	64.56%	375309	50.81%	212204	79.26%	#REF!
Nidoqueen	Poison	Ground	180	180	174	31320	Poison Jab	12	Poison	1	1050	10	10	Earthquake	100	Ground	1	100	5	4200	76	10	10500	11.97	9.52	4.80	69.31%	374900	50.75%	150199	56.10%	#REF!
Gyarados	Water	Flying	190	237	197	37430	Bite	6	Dark	0	500	7	5	Twister	25	Dragon	0	20	5	2700	20	3	1500	8.33	10.00	2.87	57.90%	374300	50.67%	107381	40.11%	#REF!
Gyarados	Water	Flying	190	237	197	37430	Dragon Breath	6	Dragon	0	500	7	5	Twister	25	Dragon	0	20	5	2700	20	3	1500	8.33	10.00	2.87	57.90%	374300	50.67%	107381	40.11%	#REF!
Slowbro	Water	Psychic	190	177	194	36860	Confusion	15	Psychic	1	1510	14	12	Psychic	55	Psychic	1	50	5	2800	41	4	6040	10.07	7.95	4.72	58.31%	371180	50.25%	174126	65.03%	#REF!
Clefable	Fairy		190	178	171	32490	Pound	7	Normal	0	540	7	5	Moonblast	85	Fairy	1	100	5	4100	64	15	8100	11.39	9.26	3.14	65.95%	370061	50.09%	102174	38.16%	#REF!
Omastar	Rock	Water	140	207	227	31780	Rock Throw	12	Rock	1	1360	15	11	Hydro Pump	90	Water	1	100	5	3800	78	7	9520	11.64	8.09	5.29	67.40%	369919	50.08%	168005	62.75%	#REF!
Omastar	Rock	Water	140	207	227	31780	Mud Shot	6	Ground	0	550	7	5	Rock Slide	50	Rock	1	33	5	3200	44	5	2750	11.60	9.09	3.84	67.17%	368648	49.90%	122163	45.63%	#REF!
Slowbro	Water	Psychic	190	177	194	36860	Water Gun	6	Water	1	500	7	5	Water Pulse	35	Water	1	25	5	3300	26	4	2000	8.68	10.00	3.01	57.90%	368600	49.90%	110821	41.39%	#REF!
Alakazam	Psychic		110	271	194	21340	Psycho Cut	7	Psychic	1	570	7	8	Psychic	55	Psychic	1	50	5	2800	63	8	4560	17.26	14.04	5.01	99.94%	368328	49.86%	106868	39.91%	#REF!
Cloyster	Water	Ice	100	186	323	32300	Frost Breath	9	Ice	1	810	7	7	Blizzard	100	Ice	1	100	5	3900	78	15	12150	11.40	8.64	3.81	66.01%	368220	49.85%	123016	45.95%	#REF!
Muk	Poison		210	190	184	38640	Poison Jab	12	Poison	1	1050	10	10	Dark Pulse	45	Dark	0	33	5	3500	29	4	4200	8.96	9.52	3.90	55.12%	367853	49.80%	150631	56.26%	#REF!
Sandslash	Ground		150	182	202	30300	Mud Shot	6	Ground	1	550	7	5	Earthquake	100	Ground	1	100	5	4200	76	15	8250	12.13	9.09	3.40	70.24%	367539	49.75%	102931	38.44%	#REF!
Blastoise	Water		158	171	210	33180	Bite	6	Dark	0	500	7	4	Hydro Pump	90	Water	1	100	5	3800	65	15	7500	11.06	8.00	2.89	64.04%	366971	49.68%	95785	35.78%	#REF!
Flareon	Fire		130	246	204	26520	Ember	10	Fire	1	1050	10	11	Flamethrower	55	Fire	1	50	5	2900	57	5	5250	13.74	10.48	5.56	79.56%	364385	49.33%	147406	55.06%	#REF!
Cloyster	Water	Ice	100	186	323	32300	Ice Shard	15	Ice	1	1400	12	12	Blizzard	100	Ice	1	100	5	3900	78	9	12600	11.27	8.57	5.10	65.26%	364021	49.28%	164597	61.48%	#REF!
Nidoqueen	Poison	Ground	180	180	174	31320	Bite	6	Dark	0	500	7	4	Earthquake	100	Ground	1	100	5	4200	76	15	7500	11.62	8.00	3.11	67.28%	363938	49.27%	97472	36.41%	#REF!
Exeggutor	Grass	Psychic	190	233	158	30020	Confusion	15	Psychic	1	1510	14	15	Seed Bomb	40	Grass	1	33	5	2400	39	3	4530	12.12	9.93	5.63	70.18%	363842	49.25%	168900	63.08%	#REF!
Charizard	Fire	Flying	156	223	176	27456	Ember	10	Fire	1	1050	10	10	Fire Blast	100	Fire	1	100	5	4100	93	10	10500	13.22	9.52	5.27	76.55%	362968	49.13%	144782	54.07%	#REF!
Charizard	Fire	Flying	156	223	176	27456	Wing Attack	9	Flying	1	750	7	9	Dragon Claw	35	Dragon	0	50	25	1500	27	8	6000	13.20	12.00	3.88	76.43%	362419	49.06%	106594	39.81%	#REF!
Venusaur	Grass	Poison	160	198	198	31680	Razor Leaf	15	Grass	1	1450	12	13	Petal Blizzard	65	Grass	1	50	5	3200	54	5	7250	11.39	8.97	5.30	65.95%	360835	48.85%	167925	62.72%	#REF!
Poliwrath	Water	Fighting	180	182	187	33660	Mud Shot	6	Ground	0	550	7	4	Hydro Pump	90	Water	1	100	5	3800	69	15	8250	10.71	7.27	2.93	62.02%	360499	48.80%	98573	36.82%	#REF!
Flareon	Fire		130	246	204	26520	Ember	10	Fire	1	1050	10	11	Heat Wave	80	Fire	1	100	5	3800	83	10	10500	13.50	10.48	5.32	78.17%	358020	48.46%	141002	52.66%	#REF!
Venusaur	Grass	Poison	160	198	198	31680	Razor Leaf	15	Grass	1	1450	12	13	Sludge Bomb	55	Poison	1	50	5	2600	46	5	7250	11.27	8.97	5.08	65.26%	357034	48.33%	160937	60.11%	#REF!
Arcanine	Fire		180	227	166	29880	Fire Fang	10	Fire	1	840	8	10	Bulldoze	35	Ground	0	25	5	3400	27	4	3360	9.91	11.90	4.00	68.91%	355572	48.13%	119449	44.61%	#REF!
Cloyster	Water	Ice	100	186	323	32300	Frost Breath	9	Ice	1	810	7	7	Hydro Pump	90	Water	1	100	5	3800	70	15	12150	10.97	8.64	3.65	63.52%	354331	47.97%	117883	44.03%	#REF!
Tentacruel	Water	Poison	160	166	237	37920	Acid	10	Poison	1	1050	10	7	Hydro Pump	90	Water	1	100	5	3800	63	10	10500	9.30	6.67	3.66	53.85%	352656	47.74%	138936	51.89%	#REF!
Cloyster	Water	Ice	100	186	323	32300	Ice Shard	15	Ice	1	1400	12	12	Hydro Pump	90	Water	1	100	5	3800	70	9	12600	10.85	8.57	4.89	62.83%	350455	47.44%	157951	58.99%	#REF!
Jolteon	Electric		130	232	201	26130	Thunder Shock	5	Electric	1	600	8	5	Thunder	100	Electric	1	100	5	4300	97	13	7800	13.39	8.33	4.04	77.53%	349881	47.36%	105563	39.43%	#REF!
Chansey	Normal		500	60	176	88000	Pound	7	Normal	1	540	7	2	Psychic	55	Psychic	0	50	5	2800	12	8	4320	3.93	3.70	1.11	22.76%	345840	46.82%	98089	36.64%	#REF!
Nidoqueen	Poison	Ground	180	180	174	31320	Poison Jab	12	Poison	1	1050	10	10	Sludge Wave	70	Poison	1	100	5	3400	53	10	10500	11.01	9.52	4.26	63.75%	344833	46.68%	133481	49.85%	#REF!
Aerodactyl	Rock	Flying	160	221	164	26240	Bite	6	Dark	0	500	7	5	Hyper Beam	120	Normal	0	100	5	5000	89	15	7500	13.12	10.00	3.69	75.97%	344269	46.60%	96705	36.12%	#REF!
Charizard	Fire	Flying	156	223	176	27456	Ember	10	Fire	1	1050	10	10	Flamethrower	55	Fire	1	50	5	2900	52	5	5250	12.52	9.52	5.06	72.50%	343749	46.53%	138983	51.91%	#REF!
Nidoqueen	Poison	Ground	180	180	174	31320	Poison Jab	12	Poison	1	1050	10	10	Stone Edge	80	Rock	0	100	50	3100	49	10	10500	10.96	9.52	4.19	63.46%	343267	46.47%	131087	48.96%	#REF!
Golduck	Water		160	191	163	26080	Water Gun	6	Water	1	500	7	5	Hydro Pump	90	Water	1	100	5	3800	72	15	7500	13.01	10.00	3.39	75.33%	339301	45.93%	88539	33.07%	#REF!
Nidoking	Poison	Ground	162	204	157	25434	Poison Jab	12	Poison	1	1050	10	11	Earthquake	100	Ground	1	100	5	4200	86	10	10500	13.33	10.48	5.34	77.19%	339035	45.89%	135833	50.73%	#REF!
Blastoise	Water		158	171	210	33180	Water Gun	6	Water	1	500	7	5	Ice Beam	65	Ice	0	50	5	3650	38	8	4000	10.20	10.00	3.04	59.06%	338436	45.81%	100898	37.68%	#REF!
Jolteon	Electric		130	232	201	26130	Thunder Shock	5	Electric	1	600	8	5	Thunderbolt	55	Electric	1	50	5	2700	54	7	4200	12.90	8.33	3.89	74.70%	337077	45.63%	101553	37.93%	#REF!
Omastar	Rock	Water	140	207	227	31780	Rock Throw	12	Rock	1	1360	15	11	Rock Slide	50	Rock	1	33	5	3200	44	3	4080	10.58	8.09	5.04	61.26%	336232	45.52%	160148	59.81%	#REF!
Chansey	Normal		500	60	176	88000	Zen Headbutt	12	Psychic	0	1050	9	3	Hyper Beam	120	Normal	1	100	5	5000	31	12	12600	3.81	2.86	1.54	22.06%	335280	45.39%	135229	50.51%	#REF!
Sandslash	Ground		150	182	202	30300	Metal Claw	8	Steel	0	630	7	5	Earthquake	100	Ground	1	100	5	4200	76	15	9450	11.06	7.94	3.31	64.04%	335118	45.36%	100226	37.43%	#REF!
Clefable	Fairy		190	178	171	32490	Pound	7	Normal	0	540	7	5	Psychic	55	Psychic	0	50	5	2800	33	8	4320	10.25	9.26	2.91	59.35%	333023	45.08%	94418	35.26%	#REF!
Tentacruel	Water	Poison	160	166	237	37920	Acid	10	Poison	1	1050	10	7	Blizzard	100	Ice	0	100	5	3900	56	10	10500	8.75	6.67	3.46	50.67%	331800	44.92%	131262	49.03%	#REF!
Blastoise	Water		158	171	210	33180	Water Gun	6	Water	1	500	7	5	Flash Cannon	60	Steel	0	33	5	3900	35	5	2500	9.38	10.00	3.26	57.90%	331800	44.92%	108196	40.41%	#REF!
Slowbro	Water	Psychic	190	177	194	36860	Confusion	15	Psychic	1	1510	14	12	Ice Beam	65	Ice	0	50	5	3650	39	4	6040	8.98	7.95	4.42	52.00%	331003	44.81%	162865	60.83%	#REF!
Tangela	Grass		130	183	205	26650	Vine Whip	7	Grass	1	650	7	6	Solar Beam	120	Grass	1	100	5	4900	92	15	9750	12.42	9.23	3.90	71.92%	330993	44.81%	103972	38.83%	#REF!
Starmie	Water	Psychic	120	210	184	22080	Water Gun	6	Water	1	500	7	6	Hydro Pump	90	Water	1	100	5	3800	79	15	7500	14.96	12.00	3.90	86.62%	330317	44.71%	86178	32.19%	#REF!
Hypno	Psychic		170	144	215	36550	Zen Headbutt	12	Psychic	1	1050	9	8	Psychic	55	Psychic	1	50	5	2800	34	6	6300	9.01	7.62	3.55	52.17%	329316	44.58%	129745	48.46%	#REF!
Chansey	Normal		500	60	176	88000	Pound	7	Normal	1	540	7	2	Dazzling Gleam	55	Fairy	0	33	5	4200	12	5	2700	3.19	3.70	1.16	21.42%	325600	44.08%	102434	38.26%	#REF!
